model,train_fraction,parameters,val_mean,first_bin_mean,frontier5_mean,frontier5_std,tail_mean,survival_mean,survival_max,density_concentration,radial_inducement,context_response_tv
frozen,0.5,8711,0.7177083333333334,0.122,0.02613333333333333,0.01660307869710381,0.49510000000000004,0.0,0,4.166948782366562e-17,0.5450903682710816,0.0
reweight,0.5,8711,0.9026041666666668,0.10533333333333333,0.0244,0.011061042747709943,0.49646666666666667,0.0,0,0.5826496686074063,0.7814216894641272,0.024656082696411813
broken,0.5,8711,0.99375,0.09400000000000001,0.020133333333333333,0.009635120941407822,0.49556666666666666,0.0,0,0.0878949763288968,0.887092282831766,0.04489856473939286
transport,0.5,8711,0.8848958333333333,0.08266666666666668,0.019600000000000003,0.005656854249492381,0.49479999999999996,0.0,0,0.136151319671299,0.7806853279489956,0.06196192359085597
frozen,0.3,8711,0.9427083333333334,0.08533333333333333,0.2754666666666667,0.018313807784170816,0.45879999999999993,0.0,0,4.166948782366562e-17,0.7917347711836932,0.0
reweight,0.3,8711,1.0,0.15133333333333332,0.2610666666666667,0.011603830785085112,0.4529666666666667,0.0,0,0.9610463332296795,0.9990127120346283,0.06899168496281922
broken,0.3,8711,1.0,0.12666666666666668,0.2614666666666667,0.0014727148022916318,0.45363333333333333,0.0,0,0.10758181025551032,0.9966420598739728,0.13091390190195748
transport,0.3,8711,1.0,0.16666666666666666,0.2524,0.004169732205629851,0.4534,0.0,0,0.24507288282556064,0.993826274037905,0.0992266260485765
