model,train_fraction,parameters,val_mean,first_bin_mean,frontier5_mean,frontier5_std,tail_mean,survival_mean,survival_max,transition_entropy,transition_self_loop
direct_projective,0.5,632,0.9994791666666667,0.17666666666666667,0.035333333333333335,0.014226110579572418,0.48489999999999994,0.0,0,1.045268703370975,0.5987632534639035
anchor_identity,0.5,632,0.9979166666666667,0.25,0.05000000000000001,0.005571355310873646,0.4824333333333333,0.0,0,0.9901777219080654,0.6338950071271445
transition_shuffled,0.5,632,0.9984375,0.32866666666666666,0.06573333333333334,0.009017513823419155,0.4865000000000001,0.0,0,0.8905785572795201,0.6650730710399073
transition,0.5,632,0.9973958333333334,0.2233333333333333,0.04466666666666667,0.0041611964091539284,0.48279999999999995,0.0,0,0.8332874340958757,0.6644287053837613
direct_projective,0.3,632,1.0,0.5673333333333334,0.2472,0.007382863039950479,0.45080000000000003,0.0,0,0.9977040864347048,0.5043658061507604
anchor_identity,0.3,632,1.0,0.5306666666666667,0.24733333333333332,0.007261466028901381,0.4506333333333333,0.0,0,1.0745237844918405,0.5361225416868524
transition_shuffled,0.3,632,1.0,0.516,0.24519999999999997,0.00785875308175541,0.4515666666666666,0.0,0,1.0186013418841602,0.5471506113937524
transition,0.3,632,1.0,0.556,0.2544,0.0072736969050591245,0.4531,0.0,0,1.080044990250988,0.5559535296522887
