model,train_fraction,first_bin_mean,frontier5_mean,frontier5_std,tail_mean,survival_mean,survival_max
uniform,0.5,0.3286666666666667,0.06573333333333334,0.019361358997297226,0.48396666666666666,0.0,0
posterior,0.5,0.35000000000000003,0.06999999999999999,0.012163332876587185,0.47700000000000004,0.0,0
permuted_posterior,0.5,0.3246666666666667,0.06493333333333334,0.021875607928060474,0.4888333333333333,0.0,0
best_hypothesis_oracle,0.5,0.5239999999999999,0.14213333333333333,0.07777048854732037,0.47903333333333337,0.0,0
uniform,0.3,0.3566666666666667,0.2188,0.017223240113288785,0.4442333333333333,0.0,0
posterior,0.3,0.35000000000000003,0.2184,0.016726824763435115,0.4442,0.0,0
permuted_posterior,0.3,0.36000000000000004,0.21906666666666666,0.0170374750346275,0.44436666666666663,0.0,0
best_hypothesis_oracle,0.3,0.5146666666666667,0.24080000000000001,0.03378204651389059,0.44913333333333333,0.0,0
