model,train_fraction,parameters,val_mean,val_std,frontier5_mean,frontier5_std,tail_mean,survival_mean,survival_max
reference_linear,0.5,2498,0.9996875,0.0006250000000000089,0.029199999999999997,0.010730144453827263,0.49786,0.0,0
subspace_static,0.5,4232,0.9996875,0.0006250000000000089,0.050159999999999996,0.017601090875283838,0.49339999999999995,0.0,0
subspace_marginal,0.5,4456,0.999375,0.0012500000000000178,0.11048,0.17662460077803427,0.49282000000000004,0.0,0
subspace_gram,0.5,4552,0.999375,0.0012500000000000178,0.05016,0.01984677303744868,0.49638,0.0,0
reference_linear,0.3,2498,0.9996875,0.0006250000000000089,0.26871999999999996,0.006728565969060587,0.45709999999999995,0.0,0
subspace_static,0.3,4232,0.9996875,0.0006250000000000089,0.25864000000000004,0.006377962056958322,0.4526199999999999,0.0,0
subspace_marginal,0.3,4456,0.9996875,0.0006250000000000089,0.25360000000000005,0.009885747316212381,0.4524,0.0,0
subspace_gram,0.3,4552,1.0,0.0,0.26728,0.005676054968021359,0.45738,0.0,0
