model,parameters,relative_error,omega,a,N,control
unrestricted,32,0.0,nan,2,16,gaussian_fourier_phase
constant,1,1.0,nan,2,16,finite_blaschke
depth_only,4,0.34009836010496275,nan,2,16,finite_blaschke
diagonal_only,8,0.9885731346036943,nan,2,16,finite_blaschke
rank_1,14,0.3131499892700809,nan,2,16,finite_blaschke
rank_2,27,0.16719217871117956,nan,2,16,finite_blaschke
rank_3,40,3.2189488963299203e-16,nan,2,16,finite_blaschke
rank_4,53,3.124944651747035e-16,nan,2,16,finite_blaschke
unrestricted,32,0.0,nan,2,16,finite_blaschke
constant,1,1.0,nan,2,16,random_rational_allpass
depth_only,4,0.3272363136076176,nan,2,16,random_rational_allpass
diagonal_only,8,0.9855357589394558,nan,2,16,random_rational_allpass
rank_1,14,0.3188086052873262,nan,2,16,random_rational_allpass
rank_2,27,0.14937045214491665,nan,2,16,random_rational_allpass
rank_3,40,6.336109796286276e-16,nan,2,16,random_rational_allpass
rank_4,53,6.313601342212867e-16,nan,2,16,random_rational_allpass
unrestricted,32,0.0,nan,2,16,random_rational_allpass
constant,1,1.0,nan,2,16,generic_smooth_unit_phase
depth_only,4,0.4170054624597246,nan,2,16,generic_smooth_unit_phase
diagonal_only,8,0.9585449142326911,nan,2,16,generic_smooth_unit_phase
rank_1,14,0.37390685538881496,nan,2,16,generic_smooth_unit_phase
rank_2,27,0.09829301540440781,nan,2,16,generic_smooth_unit_phase
rank_3,40,3.433293788876218e-16,nan,2,16,generic_smooth_unit_phase
rank_4,53,3.4137585305160245e-16,nan,2,16,generic_smooth_unit_phase
unrestricted,32,0.0,nan,2,16,generic_smooth_unit_phase
constant,1,1.0,nan,2,32,gaussian_fourier_phase
depth_only,5,0.3607628857892061,nan,2,32,gaussian_fourier_phase
diagonal_only,16,0.9897751205996255,nan,2,32,gaussian_fourier_phase
rank_1,23,0.35253968536611946,nan,2,32,gaussian_fourier_phase
rank_2,45,0.13879275313509912,nan,2,32,gaussian_fourier_phase
rank_3,67,0.0027567395586849063,nan,2,32,gaussian_fourier_phase
rank_4,89,4.3993901076204534e-16,nan,2,32,gaussian_fourier_phase
rank_5,111,4.496805387330268e-16,nan,2,32,gaussian_fourier_phase
