model,parameters,relative_error,N,control
rank_1,73,0.29090013706964607,128,finite_blaschke
rank_2,145,0.1935647897355698,128,finite_blaschke
rank_3,217,0.11669004324005637,128,finite_blaschke
rank_4,289,0.07178110472297791,128,finite_blaschke
rank_5,361,0.02976229764432994,128,finite_blaschke
rank_6,433,5.345000249237049e-16,128,finite_blaschke
rank_7,505,5.282384774092072e-16,128,finite_blaschke
unrestricted,448,0.0,128,finite_blaschke
constant,1,1.0,128,random_rational_allpass
depth_only,7,0.31814200224379013,128,random_rational_allpass
diagonal_only,64,0.9925019587246716,128,random_rational_allpass
rank_1,73,0.3025029974450117,128,random_rational_allpass
rank_2,145,0.2029615781741033,128,random_rational_allpass
rank_3,217,0.12744199080032712,128,random_rational_allpass
rank_4,289,0.06100363970820199,128,random_rational_allpass
rank_5,361,0.0085365381925265,128,random_rational_allpass
rank_6,433,3.7652665308778133e-16,128,random_rational_allpass
rank_7,505,3.7276896641791104e-16,128,random_rational_allpass
unrestricted,448,0.0,128,random_rational_allpass
constant,1,1.0,128,generic_smooth_unit_phase
depth_only,7,0.36652122181310126,128,generic_smooth_unit_phase
diagonal_only,64,0.9894454163864203,128,generic_smooth_unit_phase
rank_1,73,0.36388250986203896,128,generic_smooth_unit_phase
rank_2,145,0.15680819576507804,128,generic_smooth_unit_phase
rank_3,217,0.0595576458270959,128,generic_smooth_unit_phase
rank_4,289,0.04210346395559628,128,generic_smooth_unit_phase
rank_5,361,0.02373238428863758,128,generic_smooth_unit_phase
rank_6,433,4.3530027414948147e-16,128,generic_smooth_unit_phase
rank_7,505,4.36836406931056e-16,128,generic_smooth_unit_phase
unrestricted,448,0.0,128,generic_smooth_unit_phase
