omega,a,N,2N,extended_operator_norm_difference,leading_1_max_angle_rad,leading_1_projector_distance,leading_2_max_angle_rad,leading_2_projector_distance,leading_4_max_angle_rad,leading_4_projector_distance,leading_8_max_angle_rad,leading_8_projector_distance
2.0,1.5,64,128,0.002011615084902567,0.00016016562292080222,0.00016016562223601337,0.0004223665563292356,0.0004223665437713271,0.0016915083380365287,0.0016915075314125722,0.010047986785034766,0.010047817708350292
2.0,1.5,128,256,0.0004930526326320185,3.983421488317826e-05,3.983421487264367e-05,0.00010560147378786637,0.00010560147359159421,0.0004190296407579684,0.00041902962849535663,0.0024890147434003863,0.0024890121734128185
2.0,1.5,256,512,0.00012606216561004095,9.974030925992022e-06,9.97403092582665e-06,2.6445938780752346e-05,2.6445938777669684e-05,0.00010478782885359533,0.00010478782866182507,0.0006252049467456147,0.0006252049060154695
2.0,1.5,512,1024,3.1786185705272324e-05,2.4910079810618393e-06,2.491007981059263e-06,6.587960524336659e-06,6.587960524289005e-06,2.6144798248551988e-05,2.614479824557344e-05,0.00015288411812073655,0.00015288411752516237
