matched_nodes,median_drift,p95_drift,max_drift,omega,a,coarse_N,fine_N
15,0.2615964097046959,0.9832315970733219,0.9832315970733221,2,2,16,32
31,0.3213805649965856,0.6775730700402594,0.8079148155975531,2,2,32,64
15,0.16158343456723945,0.8345903448890898,0.8345903448890902,1.5,2,16,32
31,0.22195478506958177,0.4401993371133298,0.4849187637588861,1.5,2,32,64
15,0.168159784279713,0.8152535125009366,0.815253512500938,1.25,2,16,32
31,0.15144939754089282,0.21546075764868952,0.22104998122875538,1.25,2,32,64
15,0.356630201637575,0.8155041023591953,0.8155041023591972,1.1,2,16,32
31,0.22272485972882256,0.39298958840305026,0.4238415116337104,1.1,2,32,64
