omega,a,N,symmetry_residual,lambda_min,lambda_max,spectral_radius,defect_margin,determinant_arguments_positive,logdet_plus,logdet_minus,log_m,m,quadrature,ordinary_fredholm_claim
2,1.05,128,0.0,-0.016048890879350762,0.08642456943069629,0.08642456943069629,0.9925307937987188,True,0.07070423162667647,-0.0785112329990604,0.14921546462573687,1.160923100124368,midpoint_log_grid_split-aware-kernel-sampling,True
2,1.1,128,0.0,-0.058205511274280086,0.2673907366911805,0.2673907366911805,0.9285021939317477,True,0.19157668092403884,-0.269887449787408,0.4614641307114468,1.5863949750669177,midpoint_log_grid_split-aware-kernel-sampling,True
2,1.25,128,0.0,-0.2915692834554401,0.7888807450413349,0.7888807450413349,0.3776671701030284,True,0.3027080031484786,-1.3853640870858024,1.688072090234281,5.409042500546027,midpoint_log_grid_split-aware-kernel-sampling,True
2,1.5,128,0.0,-0.9185387559872564,0.9984487459212197,0.9984487459212197,0.0031001017683437437,True,-1.562042397072544,-6.326826126387689,4.764783729315145,117.30574475048493,midpoint_log_grid_split-aware-kernel-sampling,True
2,2,128,0.0,-0.9996949483372191,0.9999270622666817,0.9999270622666817,0.00014587014672362564,True,-13.448499825907792,-18.691521056467252,5.24302123055946,189.24098022723078,midpoint_log_grid_split-aware-kernel-sampling,True
2,3,128,0.0,-0.9997630546870769,0.9999402283859198,0.9999402283859198,0.0001195396555145889,True,-34.66117637431712,-40.3847489441896,5.723572569872481,305.99616520757957,midpoint_log_grid_split-aware-kernel-sampling,True
2,4,128,0.0,-0.9997734124889167,0.9999431430859685,0.9999431430859685,0.00011371059535425498,True,-51.159143475977615,-57.04830658635576,5.889163110378142,361.10295456649425,midpoint_log_grid_split-aware-kernel-sampling,True
1.5,1.05,128,0.0,-0.045640198533174955,0.17823311231947558,0.17823311231947558,0.9682329576729132,True,0.13054077279498832,-0.16576767280113835,0.2963084455961267,1.3448849166931893,midpoint_log_grid_split-aware-kernel-sampling,True
1.5,1.1,128,0.0,-0.12115484199450649,0.406738078859638,0.406738078859638,0.8345641352055709,True,0.24577701301506166,-0.44771496520999465,0.6934919782250564,2.000689714229317,midpoint_log_grid_split-aware-kernel-sampling,True
1.5,1.25,128,0.0,-0.41544095221239574,0.8668077257376712,0.8668077257376712,0.24864436660148626,True,0.1748633812173621,-1.8337240001544068,2.008587381371769,7.452781969193609,midpoint_log_grid_split-aware-kernel-sampling,True
1.5,1.5,128,0.0,-0.9582085142290374,0.9993024384953231,0.9993024384953231,0.0013946364173010872,True,-2.2531059271778737,-7.4204385337865215,5.167332606608648,175.4462286689932,midpoint_log_grid_split-aware-kernel-sampling,True
1.5,2,128,0.0,-0.9997300587978504,0.9999308055277919,0.9999308055277919,0.00013838415654121583,True,-14.372923002437675,-19.732092491095187,5.359169488657512,212.54834931180395,midpoint_log_grid_split-aware-kernel-sampling,True
