omega,a,N_cells,dofs,exact_adaptive_trace,raw_log_m,trace_corrected_log_m,corrected_delta,spectral_radius,lambda_max,lambda_min
2.0,1.5,64,65,0.435827178440428,4.802772148618744,4.802441326939413,nan,0.9985081349383306,0.9985081349383306,-0.9186682874025838
2.0,1.5,128,129,0.435827178440428,4.802422339767042,4.8024568592929135,1.553235350026938e-05,0.9985081605524612,0.9985081605524612,-0.9186684493229281
2.0,1.5,256,257,0.435827178440428,4.802505881013281,4.802457818934027,9.596411132406502e-07,0.9985081621368163,0.9985081621368163,-0.9186684594542577
2.0,1.5,512,513,0.435827178440428,4.80243731037879,4.802457879121923,6.018789644457456e-08,0.9985081622361665,0.9985081622361665,-0.9186684600893749
2.0,1.5,1024,1025,0.435827178440428,4.802459746817276,4.802457882876177,3.754253796728335e-09,0.9985081622423619,0.9985081622423619,-0.9186684601287932
