matched_nodes,median_drift,p95_drift,max_drift,omega,a,N,2N
31,0.39907567104397446,0.6373767002867393,0.7189366362579652,2.0,1.5,32,64
63,0.43716406636656996,0.8401932267331484,0.8823929797885576,2.0,1.5,64,128
