views,noise,whole_win_rate,missing_win_rate,whole_median_ratio,missing_median_ratio,eik_whole_median,iso_whole_median,eik_missing_median,iso_missing_median,eik_whole_p90,iso_whole_p90,shuffled_whole_median,shuffled_missing_median
3,0.05,0.85,0.7,0.4518548449884373,0.7988041524690458,0.009054651711298694,0.019795032328712645,0.10424293195834886,0.09749297978673352,0.02403768110295888,0.03986102071393162,0.017350784778531733,0.1762285573237899
3,0.1,0.9,0.6,0.5410902872478784,0.8835589352269502,0.018785637696513844,0.0332497160916851,0.22983479960623632,0.17367038470238866,0.04637171127103246,0.06352852452095431,0.032112977273245566,0.2706684754163676
3,0.2,0.95,0.55,0.638896058085759,0.9749890370794292,0.04572605178548381,0.06962786490242673,0.3204111640537828,0.32861747167761535,0.07149487105781406,0.1112026706107895,0.07305848519209189,0.5945594060319259
5,0.05,0.95,0.75,0.4838752448918223,0.8032398106845438,0.005573966147830666,0.013032720977464832,0.11512289555151133,0.13392842610007244,0.023942005805485018,0.02654223772286385,0.015511463638074726,0.1934717166291556
5,0.1,0.8,0.65,0.6688383737684994,0.8479793211663762,0.012310955042884729,0.0215570746157228,0.24546256291126464,0.1990211516362273,0.04277791713400981,0.05561424776752148,0.023569633238045222,0.27027044615692686
5,0.2,0.8,0.45,0.787270878581473,1.018075268949205,0.034232126495557735,0.04046820165181965,0.3711830384275441,0.3365719174162285,0.08023232462152805,0.09216056194811559,0.04398015632845871,0.5503181229507027
8,0.05,0.85,0.85,0.5431991365982541,0.7508994423618802,0.00409025920451786,0.006791770228622292,0.10486754858790806,0.10909705174260849,0.02161663160874515,0.01988927943128074,0.012095813991472552,0.17791338255214267
8,0.1,0.75,0.6,0.7145123778267657,0.9327910009051389,0.009090352086419975,0.013712154715271941,0.19254930819035074,0.1556034065603797,0.041976776801424025,0.03993750576460204,0.016028333861474064,0.19653472444587722
8,0.2,0.6,0.4,0.8373508758225819,1.0284872508550302,0.024406354285761007,0.025023981721367827,0.35919053109143,0.3064034147976583,0.07559538461289117,0.0731035067070047,0.030315043409039073,0.3058115387684331
