task,width,model,parameters,validation_score,effective_affine_dof,score,learning_auc,seconds,steps_to_80,steps_to_90,accuracy,normalized_mse,tail_score,tail_survival,jacobian_variability,base_only_drop,uniform_drop,mismatched_drop,up_allocation_variation,down_allocation_variation,up_correction_ratio,down_correction_ratio
checkerboard,16,ordinary_mlp,2294,0.7424889703591665,,0.5102222214142481,0.5640396706302029,0.5262451946666667,,,0.5102222363154093,,0.4817777802546819,0.0,2.4787000815073648,,,,,,,
checkerboard,16,soft_eikonal,2294,0.9624810417493185,,0.458777775367101,0.8386561661524077,3.9135778473333347,216.66666666666666,358.3333333333333,0.458777775367101,,0.38955555607875186,0.0,7.112899939219157,0.44448427607615787,0.4379583882788817,0.4513864765564601,0.1507704903682073,0.14258266488711038,0.25390083094437915,1.249003012975057
checkerboard,36,ordinary_mlp,7814,0.839775284131368,,0.5072222203016281,0.6516079540605036,0.6722517776666663,658.3333333333334,,0.5072222352027893,,0.4771111110846202,0.0,3.9436780214309692,,,,,,,
checkerboard,36,soft_eikonal,7814,0.9570307731628418,,0.4448888897895813,0.8512859519889268,4.130405555333333,216.66666666666666,291.6666666666667,0.4448888798554738,,0.34211111317078274,0.0,7.146282315254211,0.43754864608248073,0.45031675199667615,0.4450387507677078,0.10394079983234406,0.17196581761042276,0.12335696319739024,1.174380938212077
chirp_1d,16,ordinary_mlp,2261,0.8980922861358936,,0.019868537664151475,0.7348703805765057,0.34910291633332236,425.0,,,50.598654429117836,0.04164665411665794,,8.429301897684732,,,,,,,
chirp_1d,16,soft_eikonal,2261,0.9516636365392571,,0.33843647855224335,0.8904849026081858,3.8780264026666678,100.0,141.66666666666666,,2.0506927967071533,0.2380400737318349,,5.300478259722392,0.5714614383738394,0.5430199649036003,0.6480840244079217,0.08219290897250175,0.10061101863781612,0.11068618670105934,0.42055221398671466
chirp_1d,36,ordinary_mlp,7741,0.9005140150777127,,0.023891236475211932,0.7907545651797294,0.5361683476666599,266.6666666666667,425.0,,41.37266286214193,0.04594670794613339,,10.351408441861471,,,,,,,
chirp_1d,36,soft_eikonal,7741,0.9838403888775519,,0.3072677041093385,0.9085865970440388,4.003066513999992,75.0,141.66666666666666,,2.2690532207489014,0.18875173900505415,,6.888183315594991,0.5731915297001299,0.5269725537356941,0.6615854077625983,0.1024952878554662,0.10506530354420344,0.09057493756214778,0.3660990695158641
complex_spiral_3d,16,ordinary_mlp,2295,0.8764304852333739,,0.0006589951381882287,0.7079904280725212,0.3438329446666823,633.3333333333334,,,1587.1776529947917,0.005733518496721413,,2.987718343734741,,,,,,,
complex_spiral_3d,16,soft_eikonal,2295,0.9840571131537068,,0.03314813402668657,0.8735621460232358,3.7384244443333237,225.0,275.0,,32.037054697672524,0.056041111507650954,,3.0904951095581055,0.6464314417742643,0.5687773244366228,0.6670730439376035,0.11136007805665334,0.10189783573150635,0.12901408970355988,0.5987717509269714
complex_spiral_3d,36,ordinary_mlp,7815,0.9462587642600376,,0.0020496551930680408,0.7891989909898721,0.5077311803333563,383.3333333333333,608.3333333333334,,851.1362965901693,0.014219579390600055,,3.545686721801758,,,,,,,
complex_spiral_3d,36,soft_eikonal,7815,0.9847196946325433,,0.020290283404103045,0.8861764406060916,3.941873750333343,225.0,258.3333333333333,,177.01141548156738,0.05345924093673198,,3.4000209172566733,0.6471150117291717,0.5847977616396075,0.7060527744519115,0.1050032302737236,0.12361876169840495,0.13173957665761313,0.5227594971656799
fourier_mix_1d,16,ordinary_mlp,2261,0.8924902617661244,,0.17074876374476378,0.8332473534544258,0.31458362466666284,208.33333333333334,,,4.891751289367676,0.1897657976468727,,8.169291893641153,,,,,,,
fourier_mix_1d,16,soft_eikonal,2261,0.9879333185535906,,0.40970711478090344,0.9251806976184566,3.9695843886666657,83.33333333333333,158.33333333333334,,2.141088604927063,0.28643038499590573,,10.33894689877828,0.38229726159383065,0.38984401532410917,0.5305747455700338,0.10705460111300151,0.15180536483724913,0.13838563859462738,0.4347357451915741
fourier_mix_1d,36,ordinary_mlp,7741,0.8942356424432717,,0.17141468405639157,0.8465609279588975,0.5408150833333139,183.33333333333334,,,4.851142247517903,0.19559790890527518,,10.446754693984985,,,,,,,
fourier_mix_1d,36,soft_eikonal,7741,0.9907098532874943,,0.4122023651080527,0.9443787094497816,4.169223888999984,83.33333333333333,125.0,,1.57905113697052,0.27719638276604525,,2.9839457670847573,0.34925874620618186,0.3030366030059701,0.5025862294327347,0.12506110221147537,0.15374833593765894,0.11570905894041061,0.39342660705248517
hyperchecker,16,ordinary_mlp,2422,0.5292581568161646,,0.5292581568161646,0.5058973159470285,0.5617218476666418,,,0.5285555521647135,,,,1.2890268564224243,,,,,,,
hyperchecker,16,soft_eikonal,2422,0.5203624417384466,,0.5203624417384466,0.5000519582753381,4.199259069333341,,,0.5194444457689921,,,,2.122555752595266,0.003489762544631958,0.011400495966275534,0.010623743136723837,0.1218914935986201,0.056851317485173546,0.24349948267141977,0.20740944147109985
hyperchecker,36,ordinary_mlp,8102,0.5230273107687632,,0.5230273107687632,0.5043929314916022,0.7203046670000125,,,0.5226666728655497,,,,1.2393156290054321,,,,,,,
hyperchecker,36,soft_eikonal,8102,0.5181450893481573,,0.5181450893481573,0.5024554439199468,4.469037083333319,,,0.5171111027399699,,,,3.0000226696332297,0.00899160405000051,0.009855752189954122,0.01344450811545054,0.11741681148608525,0.11135060215989749,0.180173526207606,0.3646650016307831
