task,width,parameters,mlp_fit,soft_fit,fit_advantage,mlp_test,soft_test,mlp_auc,soft_auc,mlp_seconds,soft_seconds,mlp_tail,soft_tail,base_only_drop,uniform_drop,mismatched_drop,mlp_jacobian_variability,soft_jacobian_variability,soft_jacobian_change_rank,test_advantage,tail_advantage
hyperchecker,16,2422,0.52925816,0.52036244,-0.0088957151,0.52925816,0.52036244,0.50589732,0.50005196,0.56172185,4.1992591,,,0.0034897625,0.011400496,0.010623743,1.2890269,2.1225558,20,-0.0088957151,
hyperchecker,36,8102,0.52302731,0.51814509,-0.0048822214,0.52302731,0.51814509,0.50439293,0.50245544,0.72030467,4.4690371,,,0.0089916041,0.0098557522,0.013444508,1.2393156,3.0000227,20,-0.0048822214,
multiscale_1d,16,2261,0.79887974,0.96341531,0.16453557,0.12648939,0.25978324,0.77062088,0.90827307,0.33897235,3.8651431,0.17334909,0.29832664,0.40076576,0.44548846,0.65425324,2.3610985,17.033786,1,0.13329384,0.12497756
multiscale_1d,36,7741,0.81411385,0.97979616,0.16568231,0.13959195,0.27760743,0.78269647,0.92722171,0.53211383,4.0766583,0.19026514,0.32817782,0.37999217,0.36075111,0.54646614,2.2946825,2.5361189,1,0.13801548,0.13791269
chirp_1d,16,2261,0.89809229,0.95166364,0.05357135,0.019868538,0.33843648,0.73487038,0.8904849,0.34910292,3.8780264,0.041646654,0.23804007,0.57146144,0.54301996,0.64808402,8.4293019,5.3004783,1,0.31856794,0.19639342
chirp_1d,36,7741,0.90051402,0.98384039,0.083326374,0.023891236,0.3072677,0.79075457,0.9085866,0.53616835,4.0030665,0.045946708,0.18875174,0.57319153,0.52697255,0.66158541,10.351408,6.8881833,1,0.28337647,0.14280503
localized_steps_1d,16,2261,0.96504152,0.99935786,0.034316344,0.87399357,0.95407042,0.90452798,0.96525751,0.34513371,3.8747436,0.79685408,0.90856717,0.48952865,0.4340627,0.50319006,4.3424941,1.9809387,1,0.080076854,0.1117131
localized_steps_1d,36,7741,0.96814192,0.9996499,0.031507974,0.901469,0.97367039,0.9187596,0.97208923,0.54276644,4.0785412,0.83932308,0.94586128,0.34838914,0.4185457,0.43162857,4.759403,1.8252501,1,0.072201391,0.1065382
fourier_mix_1d,16,2261,0.89249026,0.98793332,0.095443057,0.17074876,0.40970711,0.83324735,0.9251807,0.31458362,3.9695844,0.1897658,0.28643038,0.38229726,0.38984402,0.53057475,8.1692919,10.338947,1,0.23895835,0.096664587
fourier_mix_1d,36,7741,0.89423564,0.99070985,0.096474211,0.17141468,0.41220237,0.84656093,0.94437871,0.54081508,4.1692239,0.19559791,0.27719638,0.34925875,0.3030366,0.50258623,10.446755,2.9839458,1,0.24078768,0.081598474
