model,train_fraction,parameters,val_mean,val_std,frontier5_mean,frontier5_std,tail_mean,survival_mean,survival_max
reference_linear,0.5,2498,0.999375,0.000765465544619754,0.03024,0.0061428332225447885,0.49376,0.0,0
witness_static,0.5,122,0.8428125,0.06436741460164452,0.00848,0.0012749901960407383,0.49707999999999997,0.0,0
witness_marginal,0.5,296,0.9984375,0.0009882117688026326,0.08512,0.07571584774669038,0.48524,0.0,0
witness_relational,0.5,296,0.996875,0.0043075152350282074,0.0728,0.023341636617855228,0.49228000000000005,0.0,0
reference_linear,0.3,2498,1.0,0.0,0.25952000000000003,0.004688027303674737,0.45470000000000005,0.0,0
witness_static,0.3,122,0.9940625000000001,0.002688226645950823,0.26952,0.0077290102859292375,0.45802,0.0,0
witness_marginal,0.3,296,1.0,0.0,0.26975999999999994,0.012054808169357159,0.46168,0.0,0
witness_relational,0.3,296,0.9996875,0.0006250000000000089,0.26208,0.03456092591352264,0.45804,0.0,0
